City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Mpulungu,ZM,-8.7623,31.1141,76.91,41,0,6.78,clear sky
136,Georgetown,MY,5.4112,100.3354,76.93,94,20,0.0,few clouds
137,Norman Wells,CA,65.282,-126.8329,57.24,44,75,14.97,broken clouds
138,Bethel,US,41.3712,-73.414,69.91,68,1,4.61,clear sky
139,Takoradi,GH,4.8845,-1.7554,76.28,92,74,8.19,broken clouds
140,Kirya,TZ,-3.9167,37.4833,69.1,77,17,9.13,few clouds
141,New Ross,IE,52.3967,-6.9367,53.15,93,100,4.63,overcast clouds
142,Ivanava,BY,52.1451,25.5365,40.44,93,100,11.74,overcast clouds
143,Chumikan,RU,54.7183,135.315,46.24,57,1,7.85,clear sky
144,Yellowknife,CA,62.456,-114.3525,48.72,76,75,6.91,broken clouds
145,Bambanglipuro,ID,-7.95,110.2833,74.84,88,90,2.19,overcast clouds
146,Nanortalik,GL,60.1432,-45.2371,37.54,70,2,10.96,clear sky
147,Mehamn,NO,71.0357,27.8492,41.68,70,17,18.7,few clouds
148,Laminusa,PH,5.5549,120.9136,80.76,74,100,0.58,overcast clouds
149,Katsuura,JP,35.1333,140.3,71.71,72,74,8.23,broken clouds
150,Guerrero Negro,MX,27.9769,-114.0611,78.76,49,0,12.59,clear sky
151,Bluff,NZ,-46.6,168.3333,48.38,84,100,11.48,light rain
152,Rio Gallegos,AR,-51.6226,-69.2181,53.65,62,75,6.91,broken clouds
153,Labuhan,ID,-6.8844,112.2051,77.81,82,100,5.61,overcast clouds
154,Cape Town,ZA,-33.9258,18.4232,48.61,81,20,5.75,few clouds
155,Tecoanapa,MX,16.5167,-98.75,84.42,69,24,7.38,few clouds
156,Liusha,CN,27.2098,108.59,62.47,91,0,2.75,clear sky
157,Resita,RO,45.3008,21.8892,47.7,93,85,1.57,overcast clouds
158,Tortosa,ES,40.8125,0.5216,63.25,55,83,10.22,light rain
159,Hithadhoo,MV,-0.6,73.0833,83.17,73,83,11.56,broken clouds
160,Niksar,TR,40.5917,36.9517,66.67,57,2,6.51,clear sky
161,Ndele,CF,8.4109,20.6473,70.11,96,84,1.14,broken clouds
162,Jalu,LY,29.0331,21.5482,86.22,21,0,7.49,clear sky
163,Siocon,PH,7.7061,122.1353,78.1,82,93,2.21,overcast clouds
164,Hambantota,LK,6.1241,81.1185,79.79,81,74,14.09,broken clouds
165,Campoverde,PE,-8.4753,-74.8058,89.29,49,54,2.86,broken clouds
166,Antalaha,MG,-14.9003,50.2788,69.4,75,92,7.16,overcast clouds
167,Kaitangata,NZ,-46.2817,169.8464,52.5,69,100,6.11,overcast clouds
168,Jieshou,CN,33.2634,115.3611,68.76,87,0,12.01,clear sky
169,Isangel,VU,-19.55,169.2667,80.71,57,40,11.5,scattered clouds
170,Rumoi,JP,43.9344,141.6428,60.24,61,90,7.45,overcast clouds
171,San Matias,BO,-16.3667,-58.4,92.68,16,0,4.72,clear sky
172,Vestmanna,FO,62.1564,-7.1664,50.92,76,75,27.63,broken clouds
173,Saint Anthony,US,45.0205,-93.218,62.74,85,90,13.8,overcast clouds
174,Bandarbeyla,SO,9.4942,50.8122,77.0,83,85,25.99,overcast clouds
175,Casas Grandes,MX,30.3667,-107.95,72.07,65,69,10.54,broken clouds
176,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.17,86,3,17.2,clear sky
177,Ponta Do Sol,PT,32.6667,-17.1,72.23,81,40,5.03,scattered clouds
178,Kismayo,SO,-0.3582,42.5454,76.73,82,11,15.93,few clouds
179,Manitouwadge,CA,49.1215,-85.8403,70.52,73,30,17.25,scattered clouds
180,Teguldet,RU,57.3064,88.1667,36.07,95,100,7.61,overcast clouds
181,Ilulissat,GL,69.2167,-51.1,28.42,69,20,20.71,few clouds
182,Walvis Bay,NA,-22.9575,14.5053,50.95,87,0,9.22,clear sky
183,Mount Isa,AU,-20.7333,139.5,67.77,19,90,25.32,overcast clouds
184,Nantucket,US,41.2835,-70.0995,62.94,55,1,6.91,clear sky
185,Waitati,NZ,-45.75,170.5667,58.68,56,100,3.42,moderate rain
186,Ariquemes,BR,-9.9133,-63.0408,86.29,45,61,2.42,broken clouds
187,Magadan,RU,59.5667,150.8,46.22,74,63,11.34,broken clouds
188,Ginda,IN,30.6945,78.4932,64.54,93,96,1.36,overcast clouds
189,Sayan,PE,-11.1361,-77.1933,68.81,56,7,3.76,clear sky
190,Husavik,IS,66.0449,-17.3389,42.71,93,100,16.17,overcast clouds
191,Charters Towers,AU,-20.1,146.2667,76.23,37,100,16.51,overcast clouds
192,Verkhovazhye,RU,60.7472,42.0465,30.63,96,80,4.74,broken clouds
193,Sterling,US,39.0062,-77.4286,75.06,60,40,6.91,scattered clouds
194,Kunming,CN,25.0389,102.7183,58.93,94,75,2.24,broken clouds
195,La Orilla,MX,17.9833,-102.2333,83.1,78,46,6.49,scattered clouds
196,Tiksi,RU,71.6872,128.8694,33.84,72,100,5.08,overcast clouds
197,Vanavara,RU,60.34,102.2797,38.1,89,100,12.46,overcast clouds
198,Maldonado,UY,-34.6667,-54.9167,52.99,87,99,17.58,overcast clouds
199,Bambous Virieux,MU,-20.3428,57.7575,68.25,68,20,13.8,few clouds
