City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Saint-Pierre,RE,2021-09-20 01:53:47,-21.3393,55.4781,64.08,68,20,8.05
160,Petropavlovsk-Kamchatskiy,RU,2021-09-20 01:53:48,53.0452,158.6483,43.39,100,90,20.13
161,Kahului,US,2021-09-20 01:50:49,20.8947,-156.47,86.02,49,40,25.32
162,Nangomba,TZ,2021-09-20 01:53:50,-10.9,38.5,67.95,76,8,3.58
163,Ancud,CL,2021-09-20 01:53:51,-41.8697,-73.8203,46.42,89,32,5.44
164,Zhigansk,RU,2021-09-20 01:53:52,66.7697,123.3711,35.19,66,17,11.61
165,Camacha,PT,2021-09-20 01:53:53,33.0833,-16.3333,68.76,64,40,6.91
166,Carmen Del Parana,PY,2021-09-20 01:53:55,-27.2333,-56.2167,84.33,53,9,5.17
167,Parrita,CR,2021-09-20 01:53:56,9.5201,-84.3225,82.53,89,100,2.21
168,Nome,US,2021-09-20 01:49:21,64.5011,-165.4064,41.16,52,75,18.41
169,Kasongo-Lunda,CD,2021-09-20 01:53:59,-6.4667,16.8167,68.61,79,97,2.33
170,Batemans Bay,AU,2021-09-20 01:54:00,-35.7167,150.1833,69.98,34,37,11.45
171,Chifeng,CN,2021-09-20 01:54:01,42.2683,118.9636,51.42,96,100,11.92
172,Bayir,TR,2021-09-20 01:54:02,37.2687,28.2167,59.52,44,0,1.97
173,Rabo De Peixe,PT,2021-09-20 01:54:03,37.8,-25.5833,67.51,73,75,8.05
174,Nelson Bay,AU,2021-09-20 01:54:04,-32.7167,152.15,77.29,36,0,1.99
175,Gat,IL,2021-09-20 01:50:04,31.61,34.7642,78.4,69,0,4.92
176,Chokurdakh,RU,2021-09-20 01:54:06,70.6333,147.9167,33.12,57,76,10.4
177,Khuzhir,RU,2021-09-20 01:54:07,53.1939,107.3397,54.16,74,6,9.08
178,Dambulla,LK,2021-09-20 01:54:08,7.86,80.6517,78.17,80,86,5.57
179,Inhambane,MZ,2021-09-20 01:54:09,-23.865,35.3833,65.32,73,0,7.74
180,Avarua,CK,2021-09-20 01:54:10,-21.2078,-159.775,78.85,73,20,11.5
181,Plymouth,US,2021-09-20 01:54:11,41.8334,-70.8328,62.87,80,0,3.27
182,Hay River,CA,2021-09-20 01:54:13,60.8156,-115.7999,46.38,87,75,5.75
183,Yen Bai,VN,2021-09-20 01:54:14,21.7,104.8667,78.3,89,100,4.92
